Time,Sequence #,Data,Best Gateway,RSSI,SNR
2019-09-11 23:32:27,321,d77e01009e023e0d000165b72b0001000000002f00,64-7F-DA-FF-FE-00-43-A5,-71,13.5
2019-09-11 22:32:27,320,d77e070da50100a5023e0d000166ca2b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-67,11.5
2019-09-11 21:32:28,319,d77e0100ac023f0d000167ea2b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-66,12.8
2019-09-11 20:32:29,318,d77e070da70100b7023e0d000169a72b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-65,12.5
2019-09-11 19:32:29,317,d77e0100bf023e0d00016b0f2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-66,10.8
2019-09-11 18:32:30,316,d77e070dac0100d9023e0d00016f202b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,13.2
2019-09-11 17:32:30,315,d77e0100f0023e0d000172cc2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-67,12
2019-09-11 16:32:31,314,d77e070db10100fd023f0d000175102b0005000000042f01,64-7F-DA-FF-FE-00-43-A5,-66,10.2
2019-09-11 15:32:32,313,d77e01011e023d0d00017a412b000c000000092f01,72-76-FF-00-2E-05-04-F8,-108,-8
2019-09-11 15:32:32,313,d77e01011e023d0d00017a412b000c000000092f01,64-7F-DA-FF-FE-00-51-DB,-101,3.5
2019-09-11 15:32:32,313,d77e01011e023d0d00017a412b000c000000092f01,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-11 14:32:32,312,d77e070db601011b023f0d00017a242b000a000000082f02,64-7F-DA-FF-FE-00-43-A5,-68,12.8
2019-09-11 13:32:33,311,d77e010133023e0d00017dee2b000a000000082f09,64-7F-DA-FF-FE-00-43-A5,-68,12.2
2019-09-11 12:32:34,310,d77e070d9801012a02410d00017c292b000d0000000a2f09,64-7F-DA-FF-FE-00-51-DB,-93,-4.8
2019-09-11 12:32:34,310,d77e070d9801012a02410d00017c292b000d0000000a2f09,64-7F-DA-FF-FE-00-43-A5,-67,11.8
2019-09-11 11:32:34,309,d77e01013302420d00017d612b000e0000000b2f09,64-7F-DA-FF-FE-00-43-A5,-67,12.5
2019-09-11 10:32:35,308,d77e070d9801010402470d000175e02b000d0000000a2f09,72-76-FF-00-2E-05-04-F8,-107,-1
2019-09-11 10:32:35,308,d77e070d9801010402470d000175e02b000d0000000a2f09,64-7F-DA-FF-FE-00-43-A5,-67,12
2019-09-11 09:32:36,307,d77e0100ee024a0d000171e32b00130000000f2f09,72-76-FF-00-2E-05-04-F8,-102,-13
2019-09-11 09:32:36,307,d77e0100ee024a0d000171e32b00130000000f2f09,64-7F-DA-FF-FE-00-43-A5,-71,13.5
2019-09-11 08:32:36,306,d77e070da90100c7024c0d00016c092b00210000001a2f00,64-7F-DA-FF-FE-00-43-A5,-75,11.8
2019-09-11 07:32:37,305,d77e0100bb024b0d00016a312b001e000000182f00,64-7F-DA-FF-FE-00-43-A5,-72,-3.8
2019-09-11 06:32:38,304,d77e070da70100ae024b0d0001682e2b001f000000192f00,64-7F-DA-FF-FE-00-43-A5,-71,12
2019-09-11 05:32:38,303,d77e0100ad024b0d000167ed2b001d000000172f00,64-7F-DA-FF-FE-00-43-A5,-72,12.8
